title,company,location,salary,skills_raw,skills_list,salary_clean
E Commerce - Relationship Manager,Vamaship,"Delhi, Mumbai, Bangalore","₹ 10,000 - 10,001 /month","English Proficiency (Spoken), Interpersonal skills, Data Analysis, Customer Support","['English Proficiency (Spoken)', 'Interpersonal skills', 'Data Analysis', 'Customer Support']","₹ 10,000 - 10,001 /month"
fundraising,Pawzz Foundation,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, MS-Office, Project Management, Digital Marketing, Time Management, Facebook Marketing, Problem Solving","['Social Media Marketing', 'MS-Office', 'Project Management', 'Digital Marketing', 'Time Management', 'Facebook Marketing', 'Problem Solving']","₹ 1,500 - 15,000 /month"
Project Management,Pawzz Foundation,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, Project Management, MS-Word, Time Management, MS-Excel, Product Management, Advanced Excel","['Social Media Marketing', 'Project Management', 'MS-Word', 'Time Management', 'MS-Excel', 'Product Management', 'Advanced Excel']","₹ 1,500 - 15,000 /month"
Entrepreneurial Operations (Founders’ Office),Skillyuvam Academy,Bangalore,"₹ 15,000 - 20,000 /month","Social Media Marketing, Project Management, Operations, MS-Excel, Business Analysis, Advanced Excel, English Proficiency (Spoken)","['Social Media Marketing', 'Project Management', 'Operations', 'MS-Excel', 'Business Analysis', 'Advanced Excel', 'English Proficiency (Spoken)']","₹ 15,000 - 20,000 /month"
Technical (UAV Systems),Nurture Xcel,Mumbai,"₹ 5,000 - 7,000 /month","Java, AutoCAD, MATLAB, JavaScript, Teamwork, CAD, Data Analysis","['Java', 'AutoCAD', 'MATLAB', 'JavaScript', 'Teamwork', 'CAD', 'Data Analysis']","₹ 5,000 - 7,000 /month"
Associate Research Trainee,Isourse,Delhi,"₹ 20,000 - 25,000 /month","MS-Office, Data Visualization, Economics, Research and Analytics, Data Analysis","['MS-Office', 'Data Visualization', 'Economics', 'Research and Analytics', 'Data Analysis']","₹ 20,000 - 25,000 /month"
Operations And Strategy,EkStep,Bangalore,"₹ 15,000 - 20,000 /month","Time Management, Critical thinking, MS-Excel, Problem Solving, Effective Communication, Data Analysis","['Time Management', 'Critical thinking', 'MS-Excel', 'Problem Solving', 'Effective Communication', 'Data Analysis']","₹ 15,000 - 20,000 /month"
Revenue Growth,Talent Corner HR Services,"Pune, Mumbai","₹ 5,000 /month","Time Management, Cold Calling, Lead Generation, Business Development, Sales, Data Analysis, Email Management","['Time Management', 'Cold Calling', 'Lead Generation', 'Business Development', 'Sales', 'Data Analysis', 'Email Management']","₹ 5,000 /month"
Data Analyst,Adaire Technologies,Work from home,"₹ 24,000 - 25,000 /month","MS-Office, Python, SQL, Data Analytics, MS-Excel, Data Interpretation, Power BI","['MS-Office', 'Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Interpretation', 'Power BI']","₹ 24,000 - 25,000 /month"
Marketing,Servyo Home,Work from home,"₹ 1,000 - 1,500 /month","Social Media Marketing, Creativity, Market Analysis, Creative Thinking, Facebook Marketing, Creative Writing, Critical thinking","['Social Media Marketing', 'Creativity', 'Market Analysis', 'Creative Thinking', 'Facebook Marketing', 'Creative Writing', 'Critical thinking']","₹ 1,000 - 1,500 /month"
HR Recruitment,Renan Partners,Work from home,"₹ 5,000 /month","MS-Office, Recruitment, MS-Word, English Proficiency (Spoken), English Proficiency (Written), HR branding, Data Analysis","['MS-Office', 'Recruitment', 'MS-Word', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'HR branding', 'Data Analysis']","₹ 5,000 /month"
Sales and Outreach,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Written), Market research, Sales","['Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Written)', 'Market research', 'Sales']","₹ 1,500 - 15,000 lump sum"
Sales Consultant,She Can Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies","['Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'Market research', 'Sales', 'Marketing Strategies']","₹ 1,500 - 15,000 lump sum"
System Game Designer,Singularity Games Private Limited,Work from home,"₹ 15,000 - 15,001 /month","Mathematics, Analytical Thinking, Data Analysis, Google Sheets","['Mathematics', 'Analytical Thinking', 'Data Analysis', 'Google Sheets']","₹ 15,000 - 15,001 /month"
Operations And Research,KriSHE Carbon,Hyderabad,"₹ 15,000 - 20,000 /month","Communication Skills, Operations, MS-Excel, Coordination, English Proficiency (Written), Data Analysis, Stakeholder Management","['Communication Skills', 'Operations', 'MS-Excel', 'Coordination', 'English Proficiency (Written)', 'Data Analysis', 'Stakeholder Management']","₹ 15,000 - 20,000 /month"
Business Development (Sales),Synova Financial Services,Work from home,"₹ 6,000 - 6,002 /month","Communication Skills, MS-Excel, Interpersonal skills, Market research, Data Analysis","['Communication Skills', 'MS-Excel', 'Interpersonal skills', 'Market research', 'Data Analysis']","₹ 6,000 - 6,002 /month"
Customer Service/Customer Support,Stimuler Private Limited,Work from home,"₹ 20,000 /month","English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Data Analysis","['English Proficiency (Spoken)', 'English Proficiency (Written)', 'Effective Communication', 'Data Analysis']","₹ 20,000 /month"
Project Management,Orazen Healthcare LLP,Indore,"₹ 10,000 - 12,000 /month","Market Analysis, MS-Excel, Market research, Marketing, Effective Communication, Data Analysis, Negotiations","['Market Analysis', 'MS-Excel', 'Market research', 'Marketing', 'Effective Communication', 'Data Analysis', 'Negotiations']","₹ 10,000 - 12,000 /month"
MIS,Gramstrong E-services Private Limited,Durgapur,"₹ 8,000 - 10,000 /month","MS-Excel, Data entry, Data Analysis","['MS-Excel', 'Data entry', 'Data Analysis']","₹ 8,000 - 10,000 /month"
"Big Data, Analytics, And API Integrations (BAP)","Expertel SA - Proceedit (Barcelona, España)",Work from home,"₹ 1,000 /month","JavaScript, Python, Computer Networking, Data Structures, Prototyping, Data Analysis","['JavaScript', 'Python', 'Computer Networking', 'Data Structures', 'Prototyping', 'Data Analysis']","₹ 1,000 /month"
Monitoring And Evaluation Trainee,IDreamCareer,Delhi,"₹ 8,000 - 10,000 /month","Communication Skills, MS-Office, Research, Analytical Thinking, Business Analysis, Research and Analytics, Data Analysis","['Communication Skills', 'MS-Office', 'Research', 'Analytical Thinking', 'Business Analysis', 'Research and Analytics', 'Data Analysis']","₹ 8,000 - 10,000 /month"
Environmental Research,Him Village EPrahari Foundation,Work from home,Unpaid,"Research, Attention to Detail, Data Analysis","['Research', 'Attention to Detail', 'Data Analysis']",Unpaid
Investment & Scouting,Bhumika Singh,Work from home,"₹ 3,000 - 6,001 /month","MS-Excel, Financial Modeling, Financial Analysis, Research and Analytics, Financial literacy, Data Analysis","['MS-Excel', 'Financial Modeling', 'Financial Analysis', 'Research and Analytics', 'Financial literacy', 'Data Analysis']","₹ 3,000 - 6,001 /month"
Resource Development,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","Networking, Data Analytics, Market Analysis, Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Market research","['Networking', 'Data Analytics', 'Market Analysis', 'Client Relationship', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Market research']","₹ 1,500 - 15,000 /month"
Social Work,Pawzz Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, Content Writing, Project Management, Digital Marketing, Time Management, Market Analysis, Facebook Marketing","['Social Media Marketing', 'Content Writing', 'Project Management', 'Digital Marketing', 'Time Management', 'Market Analysis', 'Facebook Marketing']","₹ 1,500 - 15,000 lump sum"
Risk & Compliance,PaySprint Private Limited,Delhi,"₹ 8,000 - 10,000 /month","Python, SQL, VBA, Data Analysis","['Python', 'SQL', 'VBA', 'Data Analysis']","₹ 8,000 - 10,000 /month"
Project Management,Monkhub,Gurgaon,"₹ 10,000 /month","MS-Office, Negotiation, Project Management, Time Management, Decision making, Problem Solving, Risk Management","['MS-Office', 'Negotiation', 'Project Management', 'Time Management', 'Decision making', 'Problem Solving', 'Risk Management']","₹ 10,000 /month"
Content Writing,Accredian,Work from home,"₹ 15,000 /month","Search Engine Optimization (SEO), Creative Writing, Product Management, Data Analysis","['Search Engine Optimization (SEO)', 'Creative Writing', 'Product Management', 'Data Analysis']","₹ 15,000 /month"
Market Research- B2B Fashion,Deepeejay Textiles Private Limited,Kolkata,"₹ 6,000 - 10,000 /month","Research and Analytics, Market research, Marketing, Effective Communication, Data Analysis, Google Sheets","['Research and Analytics', 'Market research', 'Marketing', 'Effective Communication', 'Data Analysis', 'Google Sheets']","₹ 6,000 - 10,000 /month"
Business Development (Sales),QuickHire,Work from home,"₹ 2,000 - 3,000 /month","Negotiation, Project Management, Market research, Marketing, Effective Communication, Data Analysis","['Negotiation', 'Project Management', 'Market research', 'Marketing', 'Effective Communication', 'Data Analysis']","₹ 2,000 - 3,000 /month"
Research,KESARI FINANCIAL SERVICES,Ahmedabad,"₹ 6,000 - 15,000 /month","MS-PowerPoint, Data Analytics, Multitasking, Business Analysis, Data entry, Financial Analysis, Data Interpretation","['MS-PowerPoint', 'Data Analytics', 'Multitasking', 'Business Analysis', 'Data entry', 'Financial Analysis', 'Data Interpretation']","₹ 6,000 - 15,000 /month"
Business Consultant,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies, Marketing Campaigns","['Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Spoken)', 'Sales', 'Marketing Strategies', 'Marketing Campaigns']","₹ 1,500 - 15,000 lump sum"
Data Scraping,Anvi Jain,Work from home,"₹ 8,000 lump sum","Data Analytics, Machine Learning, Artificial intelligence, Data Analysis","['Data Analytics', 'Machine Learning', 'Artificial intelligence', 'Data Analysis']","₹ 8,000 lump sum"
Marketing Associate,Basti Ki Pathshala Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, Market Analysis, Business Analysis, Marketing Strategy, Advanced Excel, Business Research, Client Relationship","['Social Media Marketing', 'Market Analysis', 'Business Analysis', 'Marketing Strategy', 'Advanced Excel', 'Business Research', 'Client Relationship']","₹ 1,500 - 15,000 lump sum"
Business Consultant,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies, Marketing Campaigns, Data Analytics, Machine Learning, Artificial intelligence, Data Analysis, Social Media Marketing, Market Analysis, Business Analysis, Marketing Strategy, Advanced Excel, Business Research, Client Relationship, Operations, MS-Excel, English Proficiency (Spoken), Kannada Proficiency (Spoken), Data Analysis, Logistics Management, MS-Office, Recruitment, MS-Word, Operations, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, MS-Office, Recruitment, MS-Word, English Proficiency (Spoken), English Proficiency (Written), Talent Management, HR branding, Data entry, Product Management, Product Development, Effective Communication, Data Analysis, Social Media Marketing, MS-Word, Digital Marketing, Market Analysis, Facebook Marketing, Email Marketing, MS-Excel, MS-Office, Project Management, Digital Marketing, Time Management, Data Analytics, Market Analysis, Business Analysis, Analytical Thinking, Problem Solving, MIS, Data Analysis, Collaboration, Attention to Detail, E-commerce, MS-Excel, Data Analysis, MS-Office, Attention to Detail, Database Management System (DBMS), Google Workspace, Data Analysis, Logistics Management, Logical reasoning, Critical thinking, Analytical Thinking, Problem Solving, Database Management System (DBMS), Artificial intelligence, Data Analysis, WordPress, Data Analytics, Strategy, Critical thinking, Analytical Thinking, Business Analysis, Automation, Team Management, Time Management, MS-Excel, Client Relationship Management (CRM), Teamwork, Client Relationship, English Proficiency (Spoken), Search Engine Optimization (SEO), Data Analysis, MS-PowerPoint, Time Management, Analytical Thinking, MS-Excel, Problem Solving, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, MS-Excel, Lead Generation, Market research, Data Analysis, Data Cleaning, Content Writing, Project Management, Digital Marketing, Time Management, Facebook Marketing, Advanced Excel, Digital Advertising, MS-Office, Google Analytics, MS-Word, Digital Marketing, Time Management, Market Analysis, Facebook Marketing, Social Media Marketing, MS-Office, Digital Marketing, Market Analysis, Business Analysis, Marketing Strategy, Content Marketing, Python, SQL, Data Analytics, Machine Learning, Statistics, Data Visualization, Database Management System (DBMS), Business Analysis, Client Relationship, English Proficiency (Written), Business Development, Sales, Marketing Strategies, Marketing Campaigns, Social Media Marketing, Business Analysis, Advanced Excel, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Presentation skills, Analytical Thinking, Problem Solving, Interpersonal skills, Effective Communication, Data Analysis, Report Generation, Content Writing, Critical thinking, Problem Solving, Natural Language Processing (NLP), Artificial intelligence, Research and Analytics, Effective Communication, Social Media Marketing, Digital Marketing, Facebook Marketing, Email Marketing, Analytical Thinking, English Proficiency (Written), Instagram Marketing, Social Media Marketing, Creativity, Facebook Marketing, Canva, Instagram Marketing, Data Analysis, Capcut, Data Analytics, Google AdWords, Copywriting, Marketing Strategy, Artificial intelligence, Facebook Ads, Marketing Campaigns, Social Media Marketing, Google Analytics, Problem Solving, Copywriting, Artificial intelligence, Data Analysis, Optimization, Operations, MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Data Analysis, Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies, Client Interaction, Client Relationship, Market research, Sales, Marketing Strategies, Marketing Campaigns, Data Analysis, Market research, Sales, Marketing Strategies, Marketing Campaigns, Data Analysis, Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies, Content Writing, Presentation skills, Networking, Analytical Thinking, Report Writing, English Proficiency (Spoken), English Proficiency (Written), Project Management, Digital Marketing, Time Management, Data Analytics, Market Analysis, Business Analysis, Product Management, MS-Excel, Data Analysis, Presentation skills, Time Management, MS-Excel, Process Management, Interpersonal skills, Effective Communication, Data Analysis, Finance, Attention to Detail, MS-Excel, Data Interpretation, English Proficiency (Written), Subject Matter Expert (SME), Market research","['Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Spoken)', 'Sales', 'Marketing Strategies', 'Marketing Campaigns', 'Data Analytics', 'Machine Learning', 'Artificial intelligence', 'Data Analysis', 'Social Media Marketing', 'Market Analysis', 'Marketing Strategy', 'Advanced Excel', 'Operations', 'MS-Excel', 'Kannada Proficiency (Spoken)', 'Logistics Management', 'MS-Office', 'Recruitment', 'MS-Word', 'English Proficiency (Written)', 'Effective Communication', 'Talent Management', 'HR branding', 'Data entry', 'Product Management', 'Product Development', 'Digital Marketing', 'Facebook Marketing', 'Email Marketing', 'Project Management', 'Time Management', 'Analytical Thinking', 'Problem Solving', 'MIS', 'Collaboration', 'Attention to Detail', 'E-commerce', 'Database Management System (DBMS)', 'Google Workspace', 'Logical reasoning', 'Critical thinking', 'WordPress', 'Strategy', 'Automation', 'Team Management', 'Client Relationship Management (CRM)', 'Teamwork', 'Search Engine Optimization (SEO)', 'MS-PowerPoint', 'Lead Generation', 'Market research', 'Data Cleaning', 'Content Writing', 'Digital Advertising', 'Google Analytics', 'Content Marketing', 'Python', 'SQL', 'Statistics', 'Data Visualization', 'Business Development', 'Presentation skills', 'Interpersonal skills', 'Report Generation', 'Natural Language Processing (NLP)', 'Research and Analytics', 'Instagram Marketing', 'Creativity', 'Canva', 'Capcut', 'Google AdWords', 'Copywriting', 'Facebook Ads', 'Optimization', 'Client Interaction', 'Networking', 'Report Writing', 'Process Management', 'Finance', 'Data Interpretation', 'Subject Matter Expert (SME)']","₹ 1,500 - 15,000 lump sum"
Business Consultant,NayePankh Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies, Marketing Campaigns","['Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Spoken)', 'Sales', 'Marketing Strategies', 'Marketing Campaigns']","₹ 1,500 - 15,000 lump sum"
Data Scraping,Anvi Jain,Work from home,"₹ 8,000 lump sum","Data Analytics, Machine Learning, Artificial intelligence, Data Analysis","['Data Analytics', 'Machine Learning', 'Artificial intelligence', 'Data Analysis']","₹ 8,000 lump sum"
Marketing Associate,Basti Ki Pathshala Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Social Media Marketing, Market Analysis, Business Analysis, Marketing Strategy, Advanced Excel, Business Research, Client Relationship","['Social Media Marketing', 'Market Analysis', 'Business Analysis', 'Marketing Strategy', 'Advanced Excel', 'Business Research', 'Client Relationship']","₹ 1,500 - 15,000 lump sum"
Operations,SuperTails,Bangalore,"₹ 15,000 /month","Operations, MS-Excel, English Proficiency (Spoken), Kannada Proficiency (Spoken), Data Analysis, Logistics Management","['Operations', 'MS-Excel', 'English Proficiency (Spoken)', 'Kannada Proficiency (Spoken)', 'Data Analysis', 'Logistics Management']","₹ 15,000 /month"
HR Operations,Renan Partners,Work from home,"₹ 5,000 /month","MS-Office, Recruitment, MS-Word, Operations, English Proficiency (Spoken), English Proficiency (Written), Effective Communication","['MS-Office', 'Recruitment', 'MS-Word', 'Operations', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Effective Communication']","₹ 5,000 /month"
Talent Acquisition,Renan Partners,Work from home,"₹ 5,000 /month","MS-Office, Recruitment, MS-Word, English Proficiency (Spoken), English Proficiency (Written), Talent Management, HR branding","['MS-Office', 'Recruitment', 'MS-Word', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Talent Management', 'HR branding']","₹ 5,000 /month"
Product Executive,QuantAlgos,Mohali,"₹ 6,000 - 8,000 /month","Data entry, Product Management, Product Development, Effective Communication, Data Analysis","['Data entry', 'Product Management', 'Product Development', 'Effective Communication', 'Data Analysis']","₹ 6,000 - 8,000 /month"
Online Marketing,Pawzz Foundation,Work from home,"₹ 1,500 - 15,000 /month","Social Media Marketing, MS-Word, Digital Marketing, Market Analysis, Facebook Marketing, Email Marketing, MS-Excel","['Social Media Marketing', 'MS-Word', 'Digital Marketing', 'Market Analysis', 'Facebook Marketing', 'Email Marketing', 'MS-Excel']","₹ 1,500 - 15,000 /month"
Social Impact,Pawzz,Work from home,"₹ 1,500 - 15,000 /month","MS-Office, Project Management, Digital Marketing, Time Management, Data Analytics, Market Analysis, Business Analysis","['MS-Office', 'Project Management', 'Digital Marketing', 'Time Management', 'Data Analytics', 'Market Analysis', 'Business Analysis']","₹ 1,500 - 15,000 /month"
NPD & Innovation,Mosaic Wellness,Thane,"₹ 15,000 /month","Analytical Thinking, Problem Solving, MIS, Data Analysis, Collaboration","['Analytical Thinking', 'Problem Solving', 'MIS', 'Data Analysis', 'Collaboration']","₹ 15,000 /month"
Merchandising,FirstClub Technology Private Limited,Bangalore,"₹ 25,000 - 30,000 /month","Attention to Detail, E-commerce, MS-Excel, Data Analysis","['Attention to Detail', 'E-commerce', 'MS-Excel', 'Data Analysis']","₹ 25,000 - 30,000 /month"
Logistics And Operations,D And D Fashion,Pune,"₹ 6,000 - 11,000 /month","MS-Office, Attention to Detail, Database Management System (DBMS), Google Workspace, Data Analysis, Logistics Management","['MS-Office', 'Attention to Detail', 'Database Management System (DBMS)', 'Google Workspace', 'Data Analysis', 'Logistics Management']","₹ 6,000 - 11,000 /month"
